games = 100000

turns   occurances
------------------
0,      12596
1,      9384
2,      7088
3,      6482
4,      5592
5,      5164
6,      4824
7,      4376
8,      3916
9,      3564
10,     3353
11,     3030
12,     2780
13,     2558
14,     2272
15,     2013
16,     1849
17,     1710
18,     1531
19,     1415
20,     1323
21,     1162
22,     1101
23,     959
24,     880
25,     806
26,     720
27,     642
28,     616
29,     554
30,     539
31,     463
32,     409
33,     363
34,     332
35,     321
36,     277
37,     288
38,     231
39,     228
40,     199
41,     203
42,     168
43,     146
44,     136
45,     112
46,     118
47,     105
48,     105
49,     110
50,     68
51,     79
52,     59
53,     48
54,     68
55,     48
56,     40
57,     39
58,     33
59,     44
60,     26
61,     34
62,     19
63,     26
64,     23
65,     19
66,     18
67,     13
68,     13
69,     18
70,     14
71,     14
72,     9
73,     6
74,     12
75,     1
76,     9
77,     3
78,     9
79,     5
80,     5
81,     6
82,     3
83,     6
84,     3
85,     6
86,     4
87,     1
88,     3
89,     4
90,     3
91,     1
92,     2
93,     2
95,     2
97,     1
98,     1
99,     2
100,    1
102,    2
106,    1
108,    2
110,    1
111,    2
113,    1
114,    1
123,    1
127,    1
128,    2

cards   occurances
------------------
0000,   6286
0001,   6310
0010,   6347
0011,   6202
0100,   6312
0101,   6275
0110,   6340
0111,   6168
1000,   6250
1001,   6314
1010,   6184
1011,   6145
1100,   6139
1101,   6248
1110,   6184
1111,   6296
